序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
189,833580,科创新材,14.15,3.06,0.42,43235.0,59588491.04,7.72,14.2,13.14,13.56,13.73,1.27,7.73,96.05,3.69,1216900000.0,791035388.0,0.14,0.43,-1.26,48.48
190,430017,星昊医药,16.07,3.01,0.47,41271.0,65679232.77,4.74,16.16,15.42,15.42,15.6,1.24,3.41,14.74,1.26,1965171374.0,1945501694.0,-0.31,-0.37,-4.69,16.36
191,838837,华原股份,14.21,2.97,0.41,43219.0,60356084.57,4.86,14.22,13.55,13.63,13.8,0.54,3.16,24.98,4.08,2155838703.0,1943754453.0,0.0,0.28,0.85,45.59
192,832735,德源药业,35.83,2.96,1.03,39210.0,138111169.88,9.08,36.99,33.83,34.32,34.8,1.58,5.67,11.92,2.54,2802287948.0,2478414379.0,0.0,-0.72,0.99,14.25
193,872953,国子软件,51.63,2.95,1.48,39193.0,198580624.07,7.46,51.9,48.16,48.18,50.15,0.66,14.38,58.33,8.7,4745049987.0,1407623127.0,-0.12,0.47,16.28,76.21
194,831087,秋乐种业,13.97,2.95,0.4,125368.0,173471119.08,8.77,14.5,13.31,13.9,13.57,1.22,7.78,34.05,4.11,2307844000.0,2250375960.0,0.0,-0.07,-11.02,17.89
195,837821,则成电子,40.6,2.92,1.15,30039.0,120283612.45,5.68,40.95,38.71,38.88,39.45,0.63,5.9,105.5,7.67,4012495077.0,2065644608.0,-0.12,-0.22,22.29,26.52
196,873576,天力复合,27.6,2.83,0.76,40744.0,108235900.73,6.89,27.66,25.81,26.3,26.84,1.26,3.8,37.5,6.73,3007020000.0,2956786261.0,0.0,0.8,1.21,32.95
197,830974,凯大催化,8.74,2.82,0.24,79002.0,67733112.2,5.18,8.79,8.35,8.4,8.5,1.83,6.13,51.93,2.3,1431612000.0,1125475303.0,-0.34,-0.34,-5.62,26.48
198,871694,中裕科技,18.49,2.72,0.49,17518.0,32140242.06,4.61,18.58,17.75,17.97,18.0,1.37,3.64,13.29,2.29,1889402499.0,888806349.0,0.0,0.0,2.1,24.26
199,833171,国航远洋,6.55,2.66,0.17,244036.0,157381389.78,3.92,6.55,6.3,6.43,6.38,1.65,8.5,119.1,2.65,3637918817.0,1879446841.0,0.0,0.15,-6.43,8.26
200,871396,常辅股份,24.01,2.61,0.61,73176.0,168877276.28,13.97,24.97,21.7,22.2,23.4,2.35,17.42,28.5,4.39,1440366623.0,1008511694.0,0.04,0.97,12.51,50.91
