序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
124,300476,胜宏科技,63.0,5.79,3.45,227202,1420839733.72,5.04,64.0,61.0,62.0,59.55,3.51,2.66,53.31,6.55,54349384383,53878148919,0.05,0.08,44.26,49.68
125,600345,长江通信,25.68,5.77,1.4,98856,256769790.0,9.51,26.71,24.4,24.4,24.28,9.54,4.67,127.51,2.45,8464439550,5432842747,-0.39,-0.35,-9.8,11.07
126,301382,蜂助手,63.7,5.74,3.46,161868,1027736093.21,8.2,65.66,60.72,61.38,60.24,3.39,11.85,114.86,8.19,14038555713,8700122113,-0.13,-0.44,114.55,140.2
127,688553,汇宇制药-W,17.33,5.74,0.94,71093,123265184.0,6.77,17.67,16.56,16.56,16.39,9.14,2.3,22.19,1.85,7340988000,5364210945,0.76,0.52,2.85,14.01
128,688028,沃尔德,25.88,5.72,1.4,34990,88296769.0,5.6,25.9,24.53,24.7,24.48,5.4,2.44,40.0,2.02,3933703789,3705827180,1.13,1.53,1.29,16.95
129,003018,金富科技,10.37,5.71,0.56,28868,29696607.0,8.26,10.62,9.81,9.81,9.81,11.49,2.17,17.43,1.74,2696200000,1376620352,-0.1,-2.26,3.29,11.99
130,834770,艾能聚,23.17,5.7,1.25,73048,169075202.08,9.03,23.98,22.0,22.25,21.92,6.88,8.92,61.57,5.13,3015162495,1897479346,-0.56,-0.73,5.56,48.05
131,832278,鹿得医疗,10.2,5.7,0.55,61596,64331669.81,8.7,10.89,10.05,10.32,9.65,7.03,8.15,48.76,4.49,1795200000,770589600,0.1,1.09,-0.49,42.66
132,002634,棒杰股份,3.71,5.7,0.2,145624,53852001.0,8.55,3.83,3.53,3.55,3.51,10.65,3.26,-6.68,1.97,1704197823,1656568936,0.54,0.0,-13.72,-1.33
133,688439,振华风光,66.45,5.69,3.58,34569,227597038.0,5.93,66.6,62.87,62.87,62.87,5.29,3.03,41.2,2.7,13290000000,7569827311,0.9,0.87,18.3,29.56
134,000818,航锦科技,32.02,5.68,1.72,781363,2478526020.33,12.64,33.33,29.5,30.4,30.3,5.85,11.54,400.29,6.46,21746575120,21689304148,0.34,-0.19,61.88,67.64
135,002816,和科达,14.17,5.67,0.76,35201,49795210.0,9.69,14.7,13.4,13.41,13.41,5.1,3.52,-34.89,5.78,1417000000,1417000000,-0.35,-1.12,-32.36,-3.8
136,603607,京华激光,18.12,5.66,0.97,55333,99550876.0,7.87,18.5,17.15,17.15,17.15,13.98,3.1,33.98,3.15,3234724416,3234724416,-1.63,0.39,0.89,11.3
137,920008,成电光信,43.35,5.63,2.31,30703,132763732.31,13.4,45.7,40.2,40.47,41.04,4.21,9.9,41.34,9.01,2763562500,1344622020,0.58,0.35,18.44,41.67
138,000078,海王生物,2.44,5.63,0.13,317821,77310690.02,9.52,2.54,2.32,2.32,2.31,16.88,1.21,104.18,2.11,6419940747,6408516377,0.0,-0.41,-17.29,-4.31
139,300605,恒锋信息,18.8,5.62,1.0,218453,406853679.29,16.12,19.87,17.0,17.0,17.8,10.8,19.22,-94.21,5.85,3092665405,2136758556,-0.74,-2.59,35.35,60.55
140,300777,中简科技,37.01,5.56,1.95,157471,572236234.0,6.79,37.28,34.9,35.48,35.06,5.77,3.72,52.8,3.83,16273575944,15682720436,0.08,-0.54,36.22,30.82
141,688571,杭华股份,8.18,5.55,0.43,58902,48069135.0,3.87,8.29,7.99,7.99,7.75,8.69,1.4,24.72,2.22,3436651130,3436651130,-0.24,-0.61,18.04,21.91
142,600478,科力远,5.35,5.52,0.28,544857,285696213.0,8.68,5.45,5.01,5.08,5.07,4.26,3.27,324.88,3.3,8910643901,8910643901,0.56,0.75,11.92,29.54
143,300752,隆利科技,21.99,5.52,1.15,69527,153129424.4,8.06,22.5,20.82,21.21,20.84,7.93,4.52,48.19,4.31,4953103597,3386003708,-0.86,-0.86,14.83,29.35
144,300762,上海瀚讯,25.27,5.42,1.3,229789,569150968.54,5.72,25.27,23.9,23.9,23.97,4.37,3.66,-130.36,6.6,15868695058,15868695058,1.24,0.96,8.18,20.16
145,300432,富临精工,21.4,5.42,1.1,518221,1116716558.72,5.86,22.19,21.0,21.34,20.3,7.9,4.3,63.09,6.01,26134906562,25793040514,-0.47,-0.74,38.42,39.14
146,300813,泰林生物,18.97,5.39,0.97,26588,50195065.96,6.06,19.37,18.28,18.28,18.0,10.29,3.5,152.4,2.93,2299149184,1442600644,0.05,0.0,-7.73,9.84
147,300341,麦克奥迪,19.98,5.38,1.02,118571,234985677.06,3.16,20.16,19.56,19.78,18.96,4.65,2.3,63.41,5.81,10337858513,10296246667,0.2,1.11,-4.26,14.11
148,873593,鼎智科技,63.12,5.38,3.22,39307,246457269.43,6.34,64.66,60.86,62.0,59.9,3.55,3.41,155.23,12.68,8487223072,7286314765,0.0,0.1,28.82,66.94
149,836957,汉维科技,14.96,5.35,0.76,14924,21929397.89,5.77,15.1,14.28,14.31,14.2,3.44,3.49,62.12,4.04,1605227957,638862821,-0.13,1.36,0.61,51.42
